Strong's Number,Original Word,Testament,Has English,Has Telugu,Part of Speech,Gloss/Note
G200,"ἀκρίς",Greek (NT),No,No,,""
G201,"ἀκροατήριον",Greek (NT),No,No,,""
G202,"ἀκροατής",Greek (NT),No,No,,""
G203,"ἀκροβυστία",Greek (NT),No,No,,""
G204,"ἀκρογωνιαῖος",Greek (NT),No,No,,""
G205,"ἀκροθίνιον",Greek (NT),No,No,,""
G206,"ἄκρον",Greek (NT),No,No,,""
G207,"Ἀκύλας",Greek (NT),No,No,,""
G208,"ἀκυρόω",Greek (NT),No,No,,""
G209,"ἀκωλύτως",Greek (NT),No,No,,""
G210,"ἄκων",Greek (NT),No,No,,""
G211,"ἀλάβαστρον",Greek (NT),No,No,,""
G212,"ἀλαζονεία",Greek (NT),No,No,,""
G213,"ἀλαζών",Greek (NT),No,No,,""
G214,"ἀλαλάζω",Greek (NT),No,No,,""
G215,"ἀλάλητος",Greek (NT),No,No,,""
G216,"ἄλαλος",Greek (NT),No,No,,""
G217,"ἅλας",Greek (NT),No,No,,""
G218,"ἀλείφω",Greek (NT),No,No,,""
G219,"ἀλεκτοροφωνία",Greek (NT),No,No,,""
G220,"ἀλέκτωρ",Greek (NT),No,No,,""
G221,"Ἀλεξανδρεύς",Greek (NT),No,No,,""
G222,"Ἀλεξανδρῖνος",Greek (NT),No,No,,""
G223,"Ἀλέξανδρος",Greek (NT),No,No,,""
G224,"ἄλευρον",Greek (NT),No,No,,""
G225,"ἀλήθεια",Greek (NT),No,Yes,,""
G226,"ἀληθεύω",Greek (NT),No,No,,""
G227,"ἀληθής",Greek (NT),No,Yes,,""
G228,"ἀληθινός",Greek (NT),No,No,,""
G229,"ἀλήθω",Greek (NT),No,No,,""
G230,"ἀληθῶς",Greek (NT),No,No,,""
G231,"ἁλιεύς",Greek (NT),No,No,,""
G232,"ἁλιεύω",Greek (NT),No,No,,""
G233,"ἁλίζω",Greek (NT),No,No,,""
G234,"ἀλίσγεμα",Greek (NT),No,No,,""
G235,"ἀλλά",Greek (NT),No,No,,""
G236,"ἀλλάσσω",Greek (NT),No,No,,""
G237,"ἀλλαχόθεν",Greek (NT),No,No,,""
G238,"ἀλληγορέω",Greek (NT),No,No,,""
G239,"ἀλληλουϊα",Greek (NT),No,No,,""
G240,"ἀλλήλων",Greek (NT),No,No,,""
G241,"ἀλλογενής",Greek (NT),No,No,,""
G242,"ἅλλομαι",Greek (NT),No,No,,""
G243,"ἄλλος",Greek (NT),No,Yes,,""
G244,"ἀλλοτριεπίσκοπος",Greek (NT),No,No,,""
G245,"ἀλλότριος",Greek (NT),No,No,,""
G246,"ἀλλόφυλος",Greek (NT),No,No,,""
G247,"ἄλλως",Greek (NT),No,No,,""
G248,"ἀλοάω",Greek (NT),No,No,,""
G249,"ἄλογος",Greek (NT),No,No,,""
G250,"ἀλόη",Greek (NT),No,No,,""
G251,"ἅλς",Greek (NT),No,No,,""
G252,"ἁλυκός",Greek (NT),No,No,,""
G253,"ἀλυπότερος",Greek (NT),No,No,,""
G254,"ἅλυσις",Greek (NT),No,No,,""
G255,"ἀλυσιτελής",Greek (NT),No,No,,""
G256,"Ἀλφαῖος",Greek (NT),No,No,,""
G257,"ἅλων",Greek (NT),No,No,,""
G258,"ἀλώπηξ",Greek (NT),No,No,,""
G259,"ἅλωσις",Greek (NT),No,No,,""
G260,"ἅμα",Greek (NT),No,No,,""
G261,"ἀμαθής",Greek (NT),No,No,,""
G262,"ἀμαράντινος",Greek (NT),No,No,,""
G263,"ἀμάραντος",Greek (NT),No,No,,""
G264,"ἁμαρτάνω",Greek (NT),No,Yes,,""
G265,"ἁμάρτημα",Greek (NT),No,No,,""
G266,"ἁμαρτία",Greek (NT),No,Yes,,""
G267,"ἀμάρτυρος",Greek (NT),No,No,,""
G268,"ἁμαρτωλός",Greek (NT),No,Yes,,""
G269,"ἄμαχος",Greek (NT),No,No,,""
G270,"ἀμάω",Greek (NT),No,No,,""
G271,"ἀμέθυστος",Greek (NT),No,No,,""
G272,"ἀμελέω",Greek (NT),No,No,,""
G273,"ἄμεμπτος",Greek (NT),No,No,,""
G274,"ἀμέμπτως",Greek (NT),No,No,,""
G275,"ἀμέριμνος",Greek (NT),No,No,,""
