Strong's Number,Original Word,Testament,Has English,Has Telugu,Part of Speech,Gloss/Note
G2741,"καυσόω",Greek (NT),No,No,,""
G2742,"καύσων",Greek (NT),No,No,,""
G2743,"καυτηριάζω",Greek (NT),No,No,,""
G2744,"καυχάομαι",Greek (NT),No,No,,""
G2745,"καύχημα",Greek (NT),No,No,,""
G2746,"καύχησις",Greek (NT),No,Yes,,""
G2747,"Κεγχρεαί",Greek (NT),No,No,,""
G2748,"Κεδρών",Greek (NT),No,No,,""
G2749,"κεῖμαι",Greek (NT),No,Yes,,""
G2750,"κειρία",Greek (NT),No,No,,""
G2751,"κείρω",Greek (NT),No,No,,""
G2752,"κέλευμα",Greek (NT),No,No,,""
G2753,"κελεύω",Greek (NT),No,No,,""
G2754,"κενοδοξία",Greek (NT),No,No,,""
G2755,"κενόδοξος",Greek (NT),No,No,,""
G2756,"κενός",Greek (NT),No,No,,""
G2757,"κενοφωνία",Greek (NT),No,No,,""
G2758,"κενόω",Greek (NT),No,No,,""
G2759,"κέντρον",Greek (NT),No,No,,""
G2760,"κεντυρίων",Greek (NT),No,No,,""
G2761,"κενῶς",Greek (NT),No,No,,""
G2762,"κεραία",Greek (NT),No,No,,""
G2763,"κεραμεύς",Greek (NT),No,No,,""
G2764,"κεραμικός",Greek (NT),No,No,,""
G2765,"κεράμιον",Greek (NT),No,No,,""
G2766,"κέραμος",Greek (NT),No,No,,""
G2767,"κεράννυμι",Greek (NT),No,No,,""
G2768,"κέρας",Greek (NT),No,No,,""
G2769,"κεράτιον",Greek (NT),No,No,,""
G2770,"κερδαίνω",Greek (NT),No,No,,""
G2771,"κέρδος",Greek (NT),No,No,,""
G2772,"κέρμα",Greek (NT),No,No,,""
G2773,"κερματιστής",Greek (NT),No,No,,""
G2774,"κεφάλαιον",Greek (NT),No,No,,""
G2775,"κεφαλαιόω",Greek (NT),No,No,,""
G2776,"κεφαλή",Greek (NT),No,No,,""
G2777,"κεφαλίς",Greek (NT),No,No,,""
G2778,"κῆνσος",Greek (NT),No,No,,""
G2779,"κῆπος",Greek (NT),No,No,,""
G2780,"κηπουρός",Greek (NT),No,Yes,,""
G2781,"κηρίον",Greek (NT),No,No,,""
G2782,"κήρυγμα",Greek (NT),No,No,,""
G2783,"κῆρυξ",Greek (NT),No,No,,""
G2784,"κηρύσσω",Greek (NT),No,Yes,,""
G2785,"κῆτος",Greek (NT),No,No,,""
G2786,"Κηφᾶς",Greek (NT),No,No,,""
G2787,"κιβωτός",Greek (NT),No,No,,""
G2788,"κιθάρα",Greek (NT),No,No,,""
G2789,"κιθαρίζω",Greek (NT),No,No,,""
G2790,"κιθαρῳδός",Greek (NT),No,No,,""
G2791,"Κιλικία",Greek (NT),No,No,,""
G2792,"κινάμωμον",Greek (NT),No,No,,""
G2793,"κινδυνεύω",Greek (NT),No,No,,""
G2794,"κίνδυνος",Greek (NT),No,No,,""
G2795,"κινέω",Greek (NT),No,No,,""
G2796,"κίνησις",Greek (NT),No,No,,""
G2797,"Κίς",Greek (NT),No,No,,""
G2798,"κλάδος",Greek (NT),No,No,,""
G2799,"κλαίω",Greek (NT),No,No,,""
G2800,"κλάσις",Greek (NT),No,No,,""
G2801,"κλάσμα",Greek (NT),No,No,,""
G2802,"Κλαύδη",Greek (NT),No,No,,""
G2803,"Κλαυδία",Greek (NT),No,No,,""
G2804,"Κλαύδιος",Greek (NT),No,No,,""
G2805,"κλαυθμός",Greek (NT),No,No,,""
G2806,"κλάω",Greek (NT),No,No,,""
G2807,"κλείς",Greek (NT),No,No,,""
G2808,"κλείω",Greek (NT),No,No,,""
G2809,"κλέμμα",Greek (NT),No,No,,""
G2810,"Κλεόπας",Greek (NT),No,No,,""
G2811,"κλέος",Greek (NT),No,No,,""
G2812,"κλέπτης",Greek (NT),No,No,,""
G2813,"κλέπτω",Greek (NT),No,No,,""
G2814,"κλῆμα",Greek (NT),No,No,,""
G2815,"Κλήμης",Greek (NT),No,No,,""
G2816,"κληρονομέω",Greek (NT),No,No,,""
G2817,"κληρονομία",Greek (NT),No,No,,""
G2818,"κληρονόμος",Greek (NT),No,No,,""
G2819,"κλῆρος",Greek (NT),No,Yes,,""
G2820,"κληρόω",Greek (NT),No,No,,""
G2821,"κλῆσις",Greek (NT),No,No,,""
G2822,"κλητός",Greek (NT),No,No,,""
G2823,"κλίβανος",Greek (NT),No,No,,""
G2824,"κλίμα",Greek (NT),No,No,,""
G2825,"κλίνη",Greek (NT),No,No,,""
G2826,"κλινίδιον",Greek (NT),No,No,,""
G2827,"κλίνω",Greek (NT),No,No,,""
G2828,"κλισία",Greek (NT),No,No,,""
G2829,"κλοπή",Greek (NT),No,No,,""
G2830,"κλύδων",Greek (NT),No,No,,""
G2831,"κλυδωνίζομαι",Greek (NT),No,No,,""
G2832,"Κλωπᾶς",Greek (NT),No,No,,""
G2833,"κνήθω",Greek (NT),No,No,,""
G2834,"Κνίδος",Greek (NT),No,No,,""
G2835,"κοδράντης",Greek (NT),No,No,,""
G2836,"κοιλία",Greek (NT),No,No,,""
G2837,"κοιμάω",Greek (NT),No,No,,""
G2838,"κοίμησις",Greek (NT),No,No,,""
G2839,"κοινός",Greek (NT),No,No,,""
G2840,"κοινόω",Greek (NT),No,No,,""
G2841,"κοινωνέω",Greek (NT),No,No,,""
G2842,"κοινωνία",Greek (NT),No,Yes,,""
G2843,"κοινωνικός",Greek (NT),No,No,,""
G2844,"κοινωνός",Greek (NT),No,No,,""
G2845,"κοίτη",Greek (NT),No,No,,""
G2846,"κοιτών",Greek (NT),No,No,,""
G2847,"κόκκινος",Greek (NT),No,No,,""
G2848,"κόκκος",Greek (NT),No,No,,""
G2849,"κολάζω",Greek (NT),No,No,,""
G2850,"κολακεία",Greek (NT),No,No,,""
G2851,"κόλασις",Greek (NT),No,No,,""
G2852,"κολαφίζω",Greek (NT),No,No,,""
G2853,"κολλάω",Greek (NT),No,No,,""
G2854,"κολλούριον",Greek (NT),No,No,,""
G2855,"κολλυβιστής",Greek (NT),No,No,,""
G2856,"κολοβόω",Greek (NT),No,No,,""
G2857,"Κολοσσαί",Greek (NT),No,No,,""
G2858,"Κολοσσαεύς",Greek (NT),No,No,,""
G2859,"κόλπος",Greek (NT),No,No,,""
G2860,"κολυμβάω",Greek (NT),No,No,,""
G2861,"κολυμβήθρα",Greek (NT),No,No,,""
G2862,"κολωνία",Greek (NT),No,No,,""
G2863,"κομάω",Greek (NT),No,No,,""
G2864,"κόμη",Greek (NT),No,No,,""
G2865,"κομίζω",Greek (NT),No,No,,""
G2866,"κομψότερον",Greek (NT),No,No,,""
G2867,"κονιάω",Greek (NT),No,No,,""
G2868,"κονιορτός",Greek (NT),No,No,,""
G2869,"κοπάζω",Greek (NT),No,No,,""
G2870,"κοπετός",Greek (NT),No,No,,""
G2871,"κοπή",Greek (NT),No,No,,""
G2872,"κοπιάω",Greek (NT),No,No,,""
G2873,"κόπος",Greek (NT),No,No,,""
G2874,"κοπρία",Greek (NT),No,No,,""
G2875,"κόπτω",Greek (NT),No,No,,""
G2876,"κόραξ",Greek (NT),No,No,,""
G2877,"κοράσιον",Greek (NT),No,No,,""
G2878,"κορβανᾶς",Greek (NT),No,No,,""
G2879,"Κορέ",Greek (NT),No,No,,""
G2880,"κορέννυμι",Greek (NT),No,No,,""
G2881,"Κορίνθιος",Greek (NT),No,No,,""
G2882,"Κόρινθος",Greek (NT),No,No,,""
G2883,"Κορνήλιος",Greek (NT),No,No,,""
G2884,"κόρος",Greek (NT),No,No,,""
G2885,"κοσμέω",Greek (NT),No,No,,""
G2886,"κοσμικός",Greek (NT),No,No,,""
G2887,"κόσμιος",Greek (NT),No,No,,""
G2888,"κοσμοκράτωρ",Greek (NT),No,No,,""
G2889,"κόσμος",Greek (NT),No,Yes,,""
G2890,"Κούαρτος",Greek (NT),No,No,,""
G2891,"κοῦμι",Greek (NT),No,No,,""
G2892,"κουστωδία",Greek (NT),No,No,,""
G2893,"κουφίζω",Greek (NT),No,No,,""
G2894,"κόφινος",Greek (NT),No,No,,""
G2895,"κράββατος",Greek (NT),No,No,,""
G2896,"κράζω",Greek (NT),No,No,,""
G2897,"κραιπάλη",Greek (NT),No,No,,""
G2898,"κρανίον",Greek (NT),No,No,,""
G2899,"κράσπεδον",Greek (NT),No,No,,""
G2900,"κραταιός",Greek (NT),No,No,,""
G2901,"κραταιόω",Greek (NT),No,No,,""
G2902,"κρατέω",Greek (NT),No,No,,""
G2903,"κράτιστος",Greek (NT),No,No,,""
G2904,"κράτος",Greek (NT),No,No,,""
G2905,"κραυγάζω",Greek (NT),No,No,,""
G2906,"κραυγή",Greek (NT),No,No,,""
G2907,"κρέας",Greek (NT),No,No,,""
G2908,"κρεῖσσον",Greek (NT),No,No,,""
G2909,"κρείττων",Greek (NT),No,No,,""
G2910,"κρεμάννυμι",Greek (NT),No,No,,""
G2911,"κρημνός",Greek (NT),No,No,,""
G2912,"Κρής",Greek (NT),No,No,,""
G2913,"Κρήσκης",Greek (NT),No,No,,""
G2914,"Κρήτη",Greek (NT),No,No,,""
G2915,"κριθή",Greek (NT),No,No,,""
G2916,"κρίθινος",Greek (NT),No,No,,""
G2917,"κρίμα",Greek (NT),No,No,,""
G2918,"κρίνον",Greek (NT),No,No,,""
G2919,"κρίνω",Greek (NT),No,Yes,,""
G2920,"κρίσις",Greek (NT),No,No,,""
G2921,"Κρίσπος",Greek (NT),No,No,,""
G2922,"κριτήριον",Greek (NT),No,No,,""
G2923,"κριτής",Greek (NT),No,No,,""
G2924,"κριτικός",Greek (NT),No,No,,""
G2925,"κρούω",Greek (NT),No,No,,""
G2926,"κρύπτη",Greek (NT),No,No,,""
G2927,"κρυπτός",Greek (NT),No,No,,""
G2928,"κρύπτω",Greek (NT),No,No,,""
G2929,"κρυσταλλίζω",Greek (NT),No,No,,""
G2930,"κρύσταλλος",Greek (NT),No,No,,""
G2931,"κρυφῆ",Greek (NT),No,No,,""
G2932,"κτάομαι",Greek (NT),No,No,,""
G2933,"κτῆμα",Greek (NT),No,No,,""
G2934,"κτῆνος",Greek (NT),No,No,,""
G2935,"κτήτωρ",Greek (NT),No,Yes,,""
G2936,"κτίζω",Greek (NT),No,No,,""
G2937,"κτίσις",Greek (NT),No,No,,""
G2938,"κτίσμα",Greek (NT),No,No,,""
G2939,"κτίστης",Greek (NT),No,No,,""
G2940,"κυβεία",Greek (NT),No,No,,""
G2941,"κυβέρνησις",Greek (NT),No,No,,""
G2942,"κυβερνήτης",Greek (NT),No,No,,""
G2943,"κυκλόθεν",Greek (NT),No,No,,""
G2944,"κυκλόω",Greek (NT),No,No,,""
G2945,"κύκλῳ",Greek (NT),No,No,,""
G2946,"κύλισμα",Greek (NT),No,No,,""
G2947,"κυλιόω",Greek (NT),No,No,,""
G2948,"κυλλός",Greek (NT),No,No,,""
G2949,"κῦμα",Greek (NT),No,No,,""
G2950,"κύμβαλον",Greek (NT),No,No,,""
G2951,"κύμινον",Greek (NT),No,No,,""
G2952,"κυνάριον",Greek (NT),No,No,,""
G2953,"Κύπριος",Greek (NT),No,No,,""
G2954,"Κύπρος",Greek (NT),No,No,,""
G2955,"κύπτω",Greek (NT),No,No,,""
G2956,"Κυρηναῖος",Greek (NT),No,No,,""
G2957,"Κυρήνη",Greek (NT),No,No,,""
G2958,"Κυρήνιος",Greek (NT),No,No,,""
G2959,"Κυρία",Greek (NT),No,No,,""
G2960,"κυριακός",Greek (NT),No,No,,""
G2961,"κυριεύω",Greek (NT),No,No,,""
G2962,"κύριος",Greek (NT),No,Yes,,""
G2963,"κυριότης",Greek (NT),No,No,,""
G2964,"κυρόω",Greek (NT),No,No,,""
G2965,"κύων",Greek (NT),No,No,,""
G2966,"κῶλον",Greek (NT),No,No,,""
G2967,"κωλύω",Greek (NT),No,No,,""
G2968,"κώμη",Greek (NT),No,No,,""
G2969,"κωμόπολις",Greek (NT),No,No,,""
G2970,"κῶμος",Greek (NT),No,No,,""
G2971,"κώνωψ",Greek (NT),No,No,,""
G2972,"Κώς",Greek (NT),No,No,,""
G2973,"Κωσάμ",Greek (NT),No,No,,""
G2974,"κωφός",Greek (NT),No,No,,""
G2975,"λαγχάνω",Greek (NT),No,No,,""
G2976,"Λάζαρος",Greek (NT),No,No,,""
G2977,"λάθρα",Greek (NT),No,No,,""
G2978,"λαῖλαψ",Greek (NT),No,No,,""
G2979,"λακτίζω",Greek (NT),No,No,,""
G2980,"λαλέω",Greek (NT),No,Yes,,""
G2981,"λαλιά",Greek (NT),No,No,,""
G2982,"λαμμᾶ",Greek (NT),No,No,,""
G2983,"λαμβάνω",Greek (NT),No,Yes,,""
G2984,"Λάμεχ",Greek (NT),No,No,,""
G2985,"λαμπάς",Greek (NT),No,No,,""
G2986,"λαμπρός",Greek (NT),No,No,,""
G2987,"λαμπρότης",Greek (NT),No,No,,""
G2988,"λαμπρῶς",Greek (NT),No,No,,""
G2989,"λάμπω",Greek (NT),No,No,,""
G2990,"λανθάνω",Greek (NT),No,No,,""
G2991,"λαξευτός",Greek (NT),No,No,,""
G2992,"λαός",Greek (NT),No,No,,""
G2993,"Λαοδίκεια",Greek (NT),No,No,,""
G2994,"Λαοδικεύς",Greek (NT),No,No,,""
G2995,"λάρυγξ",Greek (NT),No,No,,""
G2996,"Λασαία",Greek (NT),No,No,,""
G2997,"λάσχω",Greek (NT),No,No,,""
G2998,"λατομέω",Greek (NT),No,No,,""
G2999,"λατρεία",Greek (NT),No,No,,""
G3000,"λατρεύω",Greek (NT),No,No,,""
G3001,"λάχανον",Greek (NT),No,No,,""
G3002,"Λεββαῖος",Greek (NT),No,No,,""
G3003,"λεγεών",Greek (NT),No,No,,""
G3004,"λέγω",Greek (NT),No,Yes,,""
G3005,"λεῖμμα",Greek (NT),No,No,,""
G3006,"λεῖος",Greek (NT),No,No,,""
G3007,"λείπω",Greek (NT),No,No,,""
G3008,"λειτουργέω",Greek (NT),No,No,,""
G3009,"λειτουργία",Greek (NT),No,No,,""
G3010,"λειτουργικός",Greek (NT),No,No,,""
G3011,"λειτουργός",Greek (NT),No,No,,""
G3012,"λέντιον",Greek (NT),No,No,,""
G3013,"λεπίς",Greek (NT),No,No,,""
G3014,"λέπρα",Greek (NT),No,No,,""
G3015,"λεπρός",Greek (NT),No,No,,""
G3016,"λεπτόν",Greek (NT),No,No,,""
G3017,"Λευΐ",Greek (NT),No,No,,""
G3018,"Λευΐς",Greek (NT),No,No,,""
G3019,"Λευΐτης",Greek (NT),No,No,,""
G3020,"Λευϊτικός",Greek (NT),No,No,,""
G3021,"λευκαίνω",Greek (NT),No,No,,""
G3022,"λευκός",Greek (NT),No,No,,""
G3023,"λέων",Greek (NT),No,No,,""
G3024,"λήθη",Greek (NT),No,No,,""
G3025,"ληνός",Greek (NT),No,No,,""
G3026,"λῆρος",Greek (NT),No,No,,""
G3027,"λῃστής",Greek (NT),No,No,,""
G3028,"λῆμψις",Greek (NT),No,No,,""
G3029,"λίαν",Greek (NT),No,No,,""
G3030,"λίβανος",Greek (NT),No,No,,""
G3031,"λιβανωτός",Greek (NT),No,No,,""
G3032,"Λιβερτῖνος",Greek (NT),No,No,,""
G3033,"Λιβύη",Greek (NT),No,No,,""
G3034,"λιθάζω",Greek (NT),No,No,,""
G3035,"λίθινος",Greek (NT),No,No,,""
G3036,"λιθοβολέω",Greek (NT),No,No,,""
G3037,"λίθος",Greek (NT),No,No,,""
G3038,"λιθόστρωτος",Greek (NT),No,No,,""
G3039,"λικμάω",Greek (NT),No,Yes,,""
G3040,"λιμήν",Greek (NT),No,No,,""
G3041,"λίμνη",Greek (NT),No,No,,""
G3042,"λιμός",Greek (NT),No,No,,""
G3043,"λίνον",Greek (NT),No,No,,""
G3044,"Λίνος",Greek (NT),No,No,,""
G3045,"λιπαρός",Greek (NT),No,No,,""
G3046,"λίτρα",Greek (NT),No,No,,""
G3047,"λίψ",Greek (NT),No,No,,""
G3048,"λογία",Greek (NT),No,No,,""
G3049,"λογίζομαι",Greek (NT),No,No,,""
G3050,"λογικός",Greek (NT),No,No,,""
G3051,"λόγιον",Greek (NT),No,No,,""
G3052,"λόγιος",Greek (NT),No,No,,""
G3053,"λογισμός",Greek (NT),No,No,,""
G3054,"λογομαχέω",Greek (NT),No,No,,""
G3055,"λογομαχία",Greek (NT),No,No,,""
G3056,"λόγος",Greek (NT),No,Yes,,""
G3057,"λόγχη",Greek (NT),No,No,,""
G3058,"λοιδορέω",Greek (NT),No,No,,""
G3059,"λοιδορία",Greek (NT),No,No,,""
G3060,"λοίδορος",Greek (NT),No,No,,""
G3061,"λοιμός",Greek (NT),No,No,,""
G3062,"λοιποί",Greek (NT),No,No,,""
G3063,"λοιπόν",Greek (NT),No,No,,""
G3064,"λοιποῦ",Greek (NT),No,No,,""
G3065,"Λουκᾶς",Greek (NT),No,No,,""
G3066,"Λούκιος",Greek (NT),No,No,,""
G3067,"λουτρόν",Greek (NT),No,No,,""
G3068,"λούω",Greek (NT),No,No,,""
G3069,"Λύδδα",Greek (NT),No,No,,""
G3070,"Λυδία",Greek (NT),No,No,,""
G3071,"Λυκαονία",Greek (NT),No,No,,""
G3072,"Λυκαονιστί",Greek (NT),No,No,,""
G3073,"Λυκία",Greek (NT),No,No,,""
G3074,"λύκος",Greek (NT),No,No,,""
G3075,"λυμαίνομαι",Greek (NT),No,No,,""
G3076,"λυπέω",Greek (NT),No,No,,""
G3077,"λύπη",Greek (NT),No,No,,""
G3078,"Λυσανίας",Greek (NT),No,No,,""
G3079,"Λυσίας",Greek (NT),No,No,,""
G3080,"λύσις",Greek (NT),No,No,,""
G3081,"λυσιτελεῖ",Greek (NT),No,No,,""
G3082,"Λύστρα",Greek (NT),No,No,,""
G3083,"λύτρον",Greek (NT),No,No,,""
G3084,"λυτρόω",Greek (NT),No,No,,""
G3085,"λύτρωσις",Greek (NT),No,No,,""
G3086,"λυτρωτής",Greek (NT),No,No,,""
G3087,"λυχνία",Greek (NT),No,No,,""
G3088,"λύχνος",Greek (NT),No,No,,""
G3089,"λύω",Greek (NT),No,Yes,,""
G3090,"Λωΐς",Greek (NT),No,No,,""
G3091,"Λώτ",Greek (NT),No,No,,""
G3092,"Μαάθ",Greek (NT),No,No,,""
G3093,"Μαγδαλά",Greek (NT),No,No,,""
G3094,"Μαγδαληνή",Greek (NT),No,No,,""
G3095,"μαγεία",Greek (NT),No,No,,""
G3096,"μαγεύω",Greek (NT),No,No,,""
G3097,"μάγος",Greek (NT),No,No,,""
G3098,"Μαγώγ",Greek (NT),No,No,,""
G3099,"Μαδιάν",Greek (NT),No,No,,""
G3100,"μαθητεύω",Greek (NT),No,No,,""
G3101,"μαθητής",Greek (NT),No,No,,""
G3102,"μαθήτρια",Greek (NT),No,No,,""
G3103,"Μαθουσάλα",Greek (NT),No,No,,""
G3104,"Μαϊνάν",Greek (NT),No,No,,""
G3105,"μαίνομαι",Greek (NT),No,No,,""
G3106,"μακαρίζω",Greek (NT),No,No,,""
G3107,"μακάριος",Greek (NT),No,Yes,,""
G3108,"μακαρισμός",Greek (NT),No,No,,""
G3109,"Μακεδονία",Greek (NT),No,No,,""
G3110,"Μακεδών",Greek (NT),No,No,,""
G3111,"μάκελλον",Greek (NT),No,No,,""
G3112,"μακράν",Greek (NT),No,No,,""
G3113,"μακρόθεν",Greek (NT),No,No,,""
G3114,"μακροθυμέω",Greek (NT),No,No,,""
G3115,"μακροθυμία",Greek (NT),No,No,,""
G3116,"μακροθυμώς",Greek (NT),No,No,,""
G3117,"μακρός",Greek (NT),No,No,,""
G3118,"μακροχρόνιος",Greek (NT),No,No,,""
G3119,"μαλακία",Greek (NT),No,No,,""
G3120,"μαλακός",Greek (NT),No,No,,""
G3121,"Μαλελεήλ",Greek (NT),No,No,,""
G3122,"μάλιστα",Greek (NT),No,No,,""
G3123,"μᾶλλον",Greek (NT),No,No,,""
G3124,"Μάλχος",Greek (NT),No,No,,""
G3125,"μάμμη",Greek (NT),No,No,,""
G3126,"μαμμωνᾶς",Greek (NT),No,No,,""
G3127,"Μαναήν",Greek (NT),No,No,,""
G3128,"Μανασσῆς",Greek (NT),No,No,,""
G3129,"μανθάνω",Greek (NT),No,No,,""
G3130,"μανία",Greek (NT),No,No,,""
G3131,"μάννα",Greek (NT),No,No,,""
G3132,"μαντεύομαι",Greek (NT),No,No,,""
G3133,"μαραίνω",Greek (NT),No,No,,""
G3134,"μαρὰν ἀθά",Greek (NT),No,No,,""
G3135,"μαργαρίτης",Greek (NT),No,No,,""
G3136,"Μάρθα",Greek (NT),No,No,,""
G3137,"Μαριάμ",Greek (NT),No,No,,""
G3138,"Μάρκος",Greek (NT),No,No,,""
G3139,"μάρμαρος",Greek (NT),No,No,,""
G3140,"μαρτυρέω",Greek (NT),No,Yes,,""
G3141,"μαρτυρία",Greek (NT),No,No,,""
G3142,"μαρτύριον",Greek (NT),No,No,,""
G3143,"μαρτύρομαι",Greek (NT),No,No,,""
G3144,"μάρτυς",Greek (NT),No,Yes,,""
G3145,"μασσάομαι",Greek (NT),No,No,,""
G3146,"μαστιγόω",Greek (NT),No,No,,""
G3147,"μαστίζω",Greek (NT),No,No,,""
G3148,"μάστιξ",Greek (NT),No,No,,""
G3149,"μαστός",Greek (NT),No,No,,""
G3150,"ματαιολογία",Greek (NT),No,No,,""
G3151,"ματαιολόγος",Greek (NT),No,No,,""
G3152,"μάταιος",Greek (NT),No,No,,""
G3153,"ματαιότης",Greek (NT),No,No,,""
G3154,"ματαιόω",Greek (NT),No,No,,""
G3155,"μάτην",Greek (NT),No,No,,""
G3156,"Ματθαῖος",Greek (NT),No,No,,""
G3157,"Ματθάν",Greek (NT),No,No,,""
G3158,"Ματθάτ",Greek (NT),No,No,,""
G3159,"Ματθίας",Greek (NT),No,No,,""
G3160,"Ματταθά",Greek (NT),No,No,,""
G3161,"Ματταθίας",Greek (NT),No,No,,""
G3162,"μάχαιρα",Greek (NT),No,No,,""
G3163,"μάχη",Greek (NT),No,No,,""
G3164,"μάχομαι",Greek (NT),No,No,,""
G3165,"μέ",Greek (NT),No,No,,""
G3166,"μεγαλαυχέω",Greek (NT),No,No,,""
G3167,"μεγαλεῖος",Greek (NT),No,No,,""
G3168,"μεγαλειότης",Greek (NT),No,No,,""
G3169,"μεγαλοπρεπής",Greek (NT),No,No,,""
G3170,"μεγαλύνω",Greek (NT),No,No,,""
G3171,"μεγάλως",Greek (NT),No,No,,""
G3172,"μεγαλωσύνη",Greek (NT),No,No,,""
G3173,"μέγας",Greek (NT),No,Yes,,""
G3174,"μέγεθος",Greek (NT),No,No,,""
G3175,"μεγιστᾶνες",Greek (NT),No,No,,""
G3176,"μέγιστος",Greek (NT),No,No,,""
G3177,"μεθερμηνεύω",Greek (NT),No,No,,""
G3178,"μέθη",Greek (NT),No,No,,""
G3179,"μεθιστάνω",Greek (NT),No,No,,""
G3180,"μεθοδεία",Greek (NT),No,No,,""
G3181,"μεθόριος",Greek (NT),No,No,,""
G3182,"μεθύσκω",Greek (NT),No,No,,""
G3183,"μέθυσος",Greek (NT),No,No,,""
G3184,"μεθύω",Greek (NT),No,No,,""
G3185,"μεῖζον",Greek (NT),No,No,,""
G3186,"μειζότερος",Greek (NT),No,No,,""
G3187,"μείζων",Greek (NT),No,No,,""
G3188,"μέλαν",Greek (NT),No,No,,""
G3189,"μέλας",Greek (NT),No,No,,""
G3190,"Μελεᾶς",Greek (NT),No,No,,""
G3191,"μελετάω",Greek (NT),No,No,,""
G3192,"μέλι",Greek (NT),No,No,,""
G3193,"μελίσσιος",Greek (NT),No,No,,""
G3194,"Μελίτη",Greek (NT),No,No,,""
G3195,"μέλλω",Greek (NT),No,No,,""
G3196,"μέλος",Greek (NT),No,No,,""
G3197,"Μελχί",Greek (NT),No,No,,""
G3198,"Μελχισεδέκ",Greek (NT),No,No,,""
G3199,"μέλω",Greek (NT),No,No,,""
G3200,"μεμβράνα",Greek (NT),No,No,,""
G3201,"μέμφομαι",Greek (NT),No,No,,""
G3202,"μεμψίμοιρος",Greek (NT),No,No,,""
G3303,"μέν",Greek (NT),No,No,,""
G3304,"μενοῦνγε",Greek (NT),No,No,,""
G3305,"μέντοι",Greek (NT),No,No,,""
G3306,"μένω",Greek (NT),No,Yes,,""
G3307,"μερίζω",Greek (NT),No,No,,""
G3308,"μέριμνα",Greek (NT),No,No,,""
G3309,"μεριμνάω",Greek (NT),No,No,,""
G3310,"μερίς",Greek (NT),No,No,,""
G3311,"μερισμός",Greek (NT),No,No,,""
G3312,"μεριστής",Greek (NT),No,No,,""
G3313,"μέρος",Greek (NT),No,No,,""
G3314,"μεσημβρία",Greek (NT),No,No,,""
G3315,"μεσιτεύω",Greek (NT),No,No,,""
G3316,"μεσίτης",Greek (NT),No,No,,""
G3317,"μεσονύκτιον",Greek (NT),No,No,,""
G3318,"Μεσοποταμία",Greek (NT),No,No,,""
G3319,"μέσος",Greek (NT),No,No,,""
G3320,"μεσότοιχον",Greek (NT),No,No,,""
G3321,"μεσουράνημα",Greek (NT),No,No,,""
G3322,"μεσόω",Greek (NT),No,No,,""
G3323,"Μεσσίας",Greek (NT),No,No,,""
G3324,"μεστός",Greek (NT),No,No,,""
G3325,"μεστόω",Greek (NT),No,No,,""
G3326,"μετά",Greek (NT),No,No,,""
G3327,"μεταβαίνω",Greek (NT),No,No,,""
G3328,"μεταβάλλω",Greek (NT),No,No,,""
G3329,"μετάγω",Greek (NT),No,No,,""
G3330,"μεταδίδωμι",Greek (NT),No,No,,""
G3331,"μετάθεσις",Greek (NT),No,No,,""
G3332,"μεταίρω",Greek (NT),No,No,,""
G3333,"μετακαλέω",Greek (NT),No,No,,""
G3334,"μετακινέω",Greek (NT),No,No,,""
G3335,"μεταλαμβάνω",Greek (NT),No,No,,""
G3336,"μετάλημψις",Greek (NT),No,No,,""
G3337,"μεταλλάσσω",Greek (NT),No,No,,""
G3338,"μεταμέλλομαι",Greek (NT),No,No,,""
G3339,"μεταμορφόω",Greek (NT),No,No,,""
G3340,"μετανοέω",Greek (NT),No,No,,""
G3341,"μετάνοια",Greek (NT),No,Yes,,""
G3342,"μεταξύ",Greek (NT),No,No,,""
G3343,"μεταπέμπω",Greek (NT),No,No,,""
G3344,"μεταστρέφω",Greek (NT),No,No,,""
G3345,"μετασχηματίζω",Greek (NT),No,No,,""
G3346,"μετατίθημι",Greek (NT),No,No,,""
G3347,"μετέπειτα",Greek (NT),No,No,,""
G3348,"μετέχω",Greek (NT),No,No,,""
G3349,"μετεωρίζω",Greek (NT),No,No,,""
G3350,"μετοικεσία",Greek (NT),No,No,,""
G3351,"μετοικίζω",Greek (NT),No,No,,""
G3352,"μετοχή",Greek (NT),No,No,,""
G3353,"μέτοχος",Greek (NT),No,No,,""
G3354,"μετρέω",Greek (NT),No,No,,""
G3355,"μετρητής",Greek (NT),No,No,,""
G3356,"μετριοπαθέω",Greek (NT),No,No,,""
G3357,"μετρίως",Greek (NT),No,No,,""
G3358,"μέτρον",Greek (NT),No,No,,""
G3359,"μέτωπον",Greek (NT),No,No,,""
G3360,"μεχρίς",Greek (NT),No,No,,""
G3361,"μή",Greek (NT),No,Yes,,""
G3362,"ἐὰν μή",Greek (NT),No,No,,""
G3363,"ἵνα μή",Greek (NT),No,No,,""
G3364,"οὐ μή",Greek (NT),No,No,,""
G3365,"μηδαμῶς",Greek (NT),No,No,,""
G3366,"μηδέ",Greek (NT),No,No,,""
G3367,"μηδέν",Greek (NT),No,No,,""
G3368,"μηδέποτε",Greek (NT),No,No,,""
G3369,"μηδέπω",Greek (NT),No,No,,""
G3370,"Μῆδος",Greek (NT),No,No,,""
G3371,"μηκέτι",Greek (NT),No,No,,""
G3372,"μῆκος",Greek (NT),No,No,,""
G3373,"μηκύνω",Greek (NT),No,No,,""
