Strong's Number,Original Word,English Meaning,Telugu Word,Telugu Meaning,Language,Testament
H0123,אֱדוֹם אֱדוֹם,Edom (ed-ome') (or (fully) oEdowm ed-ome') n/p.,,,Hebrew,Old Testament
H0124,אוֹדֶם,redness,,,Hebrew,Old Testament
H0125,אֲדַמדָּם,adamdam (ad-am-dawm') adj.,,,Hebrew,Old Testament
H0126,אַדמָה,Admah (ad-maw') n/l.,,,Hebrew,Old Testament
H0127,אֲדָמָה,soil (from its general redness),,,Hebrew,Old Testament
H0128,אֲדָמָה,Adamah (ad-aw-maw') n/l.,,,Hebrew,Old Testament
H0129,אֲדָמִי,Adamiy (ad-aw-mee') n/l.,,,Hebrew,Old Testament
H0130,אֱדוֹמִי,Edomiy (ed-o-mee') (or (fully) aEdowmiy ed-o-mee') adj.,,,Hebrew,Old Testament
H0131,אֲדוּמִּים,Adummiym (ad-oom-meem') n/l.,,,Hebrew,Old Testament
H0132,אַדמוֹנִי אַדמוֹנִי,admoniy (ad-mo-nee') (or (fully) admowniy ad-mo-nee') adj.,,,Hebrew,Old Testament
H0133,אַדמָתָא,Admatha' (ad-maw-thaw') n/p.,,,Hebrew,Old Testament
H0134,אֶדֶן,a basis (of a building,,,Hebrew,Old Testament
H0135,אַדָּן,Addan (ad-dawn') n/l.,,,Hebrew,Old Testament
H0136,אֲדוֹנָי,the Lord (used as a proper name of God only),అదొనాయ్,ప్రభువు,Hebrew,Old Testament
H0137,אֲדוֹנִי ־ בֶּזֶק,Adoniy-Bezeq (ad-o''-nee-beh'-zek) n/p.,,,Hebrew,Old Testament
H0138,אֲדוֹנִיָה אֲדוֹנִיָהוּ,Adoniyah (ad-o-nee-yaw') (original (prolonged) dAdoniyahuw ad-o-nee- yaw'-hoo) n/p.,,,Hebrew,Old Testament
H0139,אֲדוֹנִי ־ צֶּדֶק,Adoniy-Tsedeq (ad-o''-nee-tseh'-dek) n/p.,,,Hebrew,Old Testament
H0140,אֲדוֹנִיקָם,Adoniyqam (ad-o-nee-kawm') n/p.,,,Hebrew,Old Testament
H0141,אֲדוֹנִירָם,Adoniyram (ad-o-nee-rawm') n/p.,,,Hebrew,Old Testament
H0142,אָדַר,adar (aw-dar') v.,,,Hebrew,Old Testament
H0143,אֲדָר,Adar (ad-awr') n/t.,,,Hebrew,Old Testament
H0144,אֲדָר,Adar (ad-awr') n/t.,,,Hebrew,Old Testament
H0145,אֶדֶר,amplitude,,,Hebrew,Old Testament
H0146,אַדָּר,Addar (ad-dawr') n/p.,,,Hebrew,Old Testament
H0147,אִדַּר,ample,,,Hebrew,Old Testament
H0148,אֲדַרגָּזֵר,a chief diviner,,,Hebrew,Old Testament
H0149,אַדרַזדָּא,adrazda' (ad-raz-daw') adv.,,,Hebrew,Old Testament
H0150,אֲדַרכּוֹן,a daric or Persian coin,,,Hebrew,Old Testament
H0151,אֲדוֹרָם,Adoram (ad-o-rawm') n/p.,,,Hebrew,Old Testament
