Strong's Number,Original Word,English Meaning,Telugu Word,Telugu Meaning,Language,Testament
H5603,סָפַן,caphan (saw-fan') v.,,,Hebrew,Old Testament
H5604,סִפּוּן,a wainscot,,,Hebrew,Old Testament
H5605,סָפַף,caphaph (saw-faf') v.,,,Hebrew,Old Testament
H5606,סָפַק שָׂפַק,caphaq (saw-fak') (or saphaq (1 Kings 20) v.,,,Hebrew,Old Testament
H5607,סֵפֶק שֶׂפֶק,chastisement,,,Hebrew,Old Testament
H5608,סָפַר,(properly) to score with a mark as a tally or record,,,Hebrew,Old Testament
H5609,סְפַר,a book,,,Hebrew,Old Testament
H5610,סְפָר,a census,,,Hebrew,Old Testament
H5611,סְפָר,Cphar (sef-awr') n/l.,,,Hebrew,Old Testament
H5612,סֵפֶר סִפרָה,cepher (say'-fer) (or (feminine) ciphrah (Psa. 56) n-e.,సేఫెర్,గ్రంథం,Hebrew,Old Testament
H5613,סָפֵר,a scribe (secular or sacred),,,Hebrew,Old Testament
H5614,סְפָרָד,Cpharad (sef-aw-rawd') n/l.,,,Hebrew,Old Testament
H5615,סְפוֹרָה,a numeration,,,Hebrew,Old Testament
H5616,סְפַרוִי,Cpharviy (sef-ar-vee') adj.,,,Hebrew,Old Testament
H5617,סְפַרוַיִם סְפָרִים,Cpharvayim (sef-ar-vah'-yim) (or Sepharim) n/l.,,,Hebrew,Old Testament
H5618,סוֹפֶרֶת,Cophereth (so-feh'-reth) n/p.,,,Hebrew,Old Testament
H5619,סָקַל,caqal (saw-kal') v.,,,Hebrew,Old Testament
H5620,סַר,car (sar) adj.,,,Hebrew,Old Testament
H5621,סָרָב,a thistle,,,Hebrew,Old Testament
H5622,סַרבַּל,a cloak,,,Hebrew,Old Testament
H5623,סַרגּוֹן,Cargown (sar-gone') n/p.,,,Hebrew,Old Testament
H5624,סֶרֶד,Cered (seh'-red) n/p.,,,Hebrew,Old Testament
H5625,סַרדִּי,Cardiy (sar-dee') adj.,,,Hebrew,Old Testament
H5626,סִרָה,Cirah (see-raw') n/l.,,,Hebrew,Old Testament
H5627,סָרָה,apostasy,,,Hebrew,Old Testament
H5628,סָרַח,carach (saw-rakh') v.,,,Hebrew,Old Testament
H5629,סֶרַח,a redundancy,,,Hebrew,Old Testament
H5630,סִריוֹן,a coat of mail,,,Hebrew,Old Testament
H5631,סָרִיס סָרִס,a eunuch,,,Hebrew,Old Testament
H5632,סָרֵך,an emir,,,Hebrew,Old Testament
H5633,סֶרֶן,an axle,,,Hebrew,Old Testament
H5634,סַרעַפָּה,a twig,,,Hebrew,Old Testament
H5635,סָרַף,caraph (saw-raf') v.,,,Hebrew,Old Testament
H5636,סַרפָּד,a nettle (as stinging like a burn),,,Hebrew,Old Testament
H5637,סָרַר,carar (saw-rar') v.,,,Hebrew,Old Testament
H5638,סְתָו,winter (as the dark season),,,Hebrew,Old Testament
H5639,סְתוּר,Cthuwr (seth-oor') n/p.,,,Hebrew,Old Testament
H5640,סָתַם שָׂתַם,catham (saw-tham') (or satham (Numbers 24) v.,,,Hebrew,Old Testament
H5641,סָתַר,cathar (saw-thar') v.,,,Hebrew,Old Testament
H5642,סְתַר,cthar (seth-ar') v.,,,Hebrew,Old Testament
H5643,סֵתֶר סִתרָה,a cover (in a good or a bad,,,Hebrew,Old Testament
H5644,סִתרִי,Cithriy (sith-ree') n/p.,,,Hebrew,Old Testament
H5645,עָב,(properly) an envelope,,,Hebrew,Old Testament
H5646,עָב עוֹב,but used only as an architectural term,,,Hebrew,Old Testament
H5647,עָבַד,`abad (aw-bad') v.,,,Hebrew,Old Testament
H5648,עֲבַד,`abad (ab-bad') v.,,,Hebrew,Old Testament
H5649,עֲבַד,a servant,,,Hebrew,Old Testament
H5650,עֶבֶד,a servant,ఎబెద్,సేవకుడు,Hebrew,Old Testament
H5651,עֶבֶד,`Ebed (eh'-bed) n/p.,,,Hebrew,Old Testament
H5652,עֲבָד,a deed,,,Hebrew,Old Testament
H5653,עַבדָּא,`Abda' (ab-daw') n/p.,,,Hebrew,Old Testament
H5654,עוֹבֵד אֱדוֹם,`Obed 'Edowm (o-bade' ed-ome') n/p.,,,Hebrew,Old Testament
H5655,עַבדֶּאֵל,`Abd'el (ab-deh-ale') n/p.,,,Hebrew,Old Testament
H5656,עֲבוֹדָה עֲבוֹדָה,work of any kind,,,Hebrew,Old Testament
H5657,עֲבוּדָּה,something wrought,,,Hebrew,Old Testament
H5658,עַבדּוֹן,`Abdown (ab-dohn') n/l.,,,Hebrew,Old Testament
H5659,עַבדּוּת,servitude,,,Hebrew,Old Testament
H5660,עַבדִּי,`Abdiy (ab-dee') n/p.,,,Hebrew,Old Testament
H5661,עַבדִּיאֵל,`Abdiy'el (ab-dee-ale') n/p.,,,Hebrew,Old Testament
H5662,עוֹבַדיָה עוֹבַדיָהוּ,`Obadyah (o-bad-yaw') (or mObadyahuw o-bad-yaw'-hoo) n/p.,,,Hebrew,Old Testament
H5663,עֶבֶד מֶלֶך,`Ebed Melek (eh'-bed meh'-lek) n/p.,,,Hebrew,Old Testament
H5664,עֲבֵד נֶגוֹ,`Abed Ngow (ab-ade' neg-o') n/p.,,,Hebrew,Old Testament
H5665,עֲבֵד נֶגוֹא,`Abed Ngow' (ab-ade' neg-o') n/p.,,,Hebrew,Old Testament
H5666,עָבָה,`abah (aw-baw') v.,,,Hebrew,Old Testament
H5667,עֲבוֹט עֲבוֹט,a pawn,,,Hebrew,Old Testament
H5668,עָבוּר עָבוּר,`abuwr (aw-boor') (or rabur aw-boor') prep.,,,Hebrew,Old Testament
H5669,עָבוּר,passed,,,Hebrew,Old Testament
H5670,עָבַט,`abat (aw-bat') v.,,,Hebrew,Old Testament
H5671,עַבטִּיטּ,something pledged,,,Hebrew,Old Testament
H5672,עֲבִי עֳבִי,density,,,Hebrew,Old Testament
H5673,עֲבִידָּה,labor or business,,,Hebrew,Old Testament
H5674,עָבַר,`abar (aw-bar') v.,ఆబర్,దాటు,Hebrew,Old Testament
H5675,עֲבַר,beyond,,,Hebrew,Old Testament
H5676,עֵבֶר,(properly) a region across,,,Hebrew,Old Testament
H5677,עֵבֶר,`Eber (ay'-ber) n/p.,,,Hebrew,Old Testament
H5678,עֶברָה,an outburst of passion,,,Hebrew,Old Testament
H5679,עֲבָרָה,a crossing-place,,,Hebrew,Old Testament
H5680,עִברִי,`Ibriy (ib-ree') adj.,,,Hebrew,Old Testament
H5681,עִברִי,`Ibriy (ib-ree') n/p.,,,Hebrew,Old Testament
H5682,עֲבָרִים,`Abarim (ab-aw-reem') n/l.,,,Hebrew,Old Testament
H5683,עֶברוֹן,`Ebron (eb-rone') n/l.,,,Hebrew,Old Testament
H5684,עֶברוֹנָה,`Ebronah (eb-raw-naw') n/p.,,,Hebrew,Old Testament
H5685,עָבַשׁ,`abash (aw-bash') v.,,,Hebrew,Old Testament
H5686,עָבַת,`abath (aw-bath') v.,,,Hebrew,Old Testament
H5687,עָבוֹת עָבוֹת,`aboth (aw-both') (or rabowth aw-both') adj.,,,Hebrew,Old Testament
H5688,עֲבוֹת עֲבוֹת עֲבוֹתָה,`aboth (ab-oth') (or rabowth ab-oth' or (feminine) tabothah ab- oth-aw',,,Hebrew,Old Testament
H5689,עָגַב,`agab (aw-gab') v.,,,Hebrew,Old Testament
H5690,עֶגֶב,love (concretely),,,Hebrew,Old Testament
H5691,עֲגָבָה,love (abstractly),,,Hebrew,Old Testament
H5692,עוּגָּה,an ash-cake (as round),,,Hebrew,Old Testament
H5693,עָגוּר,swallow,,,Hebrew,Old Testament
H5694,עָגִיל,something round,,,Hebrew,Old Testament
H5695,עֵגֶל,a (male) calf (as frisking round),,,Hebrew,Old Testament
H5696,עָגוֹל עָגוֹל,`agol (aw-gole') (or magowl aw-gole') adj.,,,Hebrew,Old Testament
H5697,עֶגלָה,a (female) calf,,,Hebrew,Old Testament
H5698,עֶגלָה,`Eglah (eg-law') n/p.,,,Hebrew,Old Testament
H5699,עֲגָלָה,something revolving,,,Hebrew,Old Testament
H5700,עֶגלוֹן,`Eglown (eg-lawn') n/l.,,,Hebrew,Old Testament
H5701,עָגַם,`agam (aw-gam') v.,,,Hebrew,Old Testament
H5702,עָגַן,`agan (aw-gan') v.,,,Hebrew,Old Testament
H5703,עַד,(properly) a (peremptory) terminus,అద్,శాశ్వతం,Hebrew,Old Testament
H5704,עַד,`ad (ad) prep.,,,Hebrew,Old Testament
H5705,עַד,`ad (ad) prep.,,,Hebrew,Old Testament
H5706,עַד,booty,,,Hebrew,Old Testament
H5707,עֵד,concretely,,,Hebrew,Old Testament
H5708,עֵד,the menstrual flux (as periodical),,,Hebrew,Old Testament
H5709,עֲדָא עֲדָה,`ada' (ad-aw') ((Aramaic) or adah (Aramaic) ad-aw') v.,,,Hebrew,Old Testament
H5710,עָדָה,`adah (aw-daw') v.,,,Hebrew,Old Testament
H5711,עָדָה,`Adah (aw-daw') n/p.,,,Hebrew,Old Testament
H5712,עֵדָה,a stated assemblage,,,Hebrew,Old Testament
H5713,עֵדָה,testimony,,,Hebrew,Old Testament
H5714,עִדּוֹ עִדּוֹא עִדִּיא,`Iddow (id-do') (or iIddowo id-do' or tIddiy id-dee',,,Hebrew,Old Testament
H5715,עֵדוּת,testimony,,,Hebrew,Old Testament
H5716,עֲדִי,finery,,,Hebrew,Old Testament
H5717,עֲדִיאֵל,`Adiy'el (ad-ee-ale') n/p.,,,Hebrew,Old Testament
H5718,עֲדָיָה עֲדָיָהוּ,`Adayah (ad-aw-yaw') (or mAdayahuw ad-aw-yaw'-hoo) n/p.,,,Hebrew,Old Testament
H5719,עָדִין,`adiyn (aw-deen') adj.,,,Hebrew,Old Testament
H5720,עָדִין,`Adiyn (aw-deen') n/p.,,,Hebrew,Old Testament
H5721,עֲדִינָא,`Adiyna' (ad-ee-naw') n/p.,,,Hebrew,Old Testament
H5722,עֲדִינוֹ,`adiynow (ad-ee-no') n/p.,,,Hebrew,Old Testament
H5723,עֲדִיתַּיִם,`Adiythayim (ad-ee-thah'-yim) n/l.,,,Hebrew,Old Testament
H5724,עַדלַי,`Adlay (ad-lah'-ee) n/p.,,,Hebrew,Old Testament
H5725,עֲדוּלָּם,`Adullam (ad-ool-lawm') n/l.,,,Hebrew,Old Testament
H5726,עֲדוּלָּמִי,`Adullamiy (ad-ool-law-mee') adj.,,,Hebrew,Old Testament
H5727,עָדַן,`adan (aw-dan') v.,,,Hebrew,Old Testament
H5728,עֲדֶן עֲדֶנָּה,`aden (ad-en') (or radennah ad-en'-naw) adv.,,,Hebrew,Old Testament
H5729,עֶדֶן,`Eden (eh'-den) n/l.,,,Hebrew,Old Testament
H5730,עֵדֶן עֶדנָה,`eden (ay'-den) (or (feminine) aednah ed-naw') n-e.,,,Hebrew,Old Testament
H5731,עֵדֶן,`Eden (ay'-den) n/p.,,,Hebrew,Old Testament
H5732,עִדָּן,a set time,,,Hebrew,Old Testament
H5733,עַדנָא,`Adna' (ad-naw') n/p.,,,Hebrew,Old Testament
H5734,עַדנָה,`Adnah (ad-naw') n/p.,,,Hebrew,Old Testament
H5735,עֲדעָדָה,`Ad`adah (ad-aw-daw') n/l.,,,Hebrew,Old Testament
H5736,עָדַף,`adaph (aw-daf') v.,,,Hebrew,Old Testament
H5737,עָדַר,`adar (aw-dar') v.,,,Hebrew,Old Testament
H5738,עֶדֶר,`Eder (eh'-der) n/p.,,,Hebrew,Old Testament
H5739,עֵדֶר,an arrangement,,,Hebrew,Old Testament
H5740,עֵדֶר,`Eder (ay'-der) n/l.,,,Hebrew,Old Testament
H5741,עַדרִיאֵל,`Adriy'el (ad-ree-ale') n/p.,,,Hebrew,Old Testament
H5742,עָדָשׁ,a lentil,,,Hebrew,Old Testament
H5743,עוּב,`uwb (oob) v.,,,Hebrew,Old Testament
H5744,עוֹבֵד,`Owbed (o-bade') n/p.,,,Hebrew,Old Testament
H5745,עוֹבָל,`Owbal (o-bawl') n/p.,,,Hebrew,Old Testament
H5746,עוּג,`uwg (oog) v.,,,Hebrew,Old Testament
H5747,עוֹג,`Owg (ogue) n/p.,,,Hebrew,Old Testament
H5748,עוּגָב עוּגָּב,a reed-instrument of music,,,Hebrew,Old Testament
H5749,עוּד,`uwd (ood) v.,,,Hebrew,Old Testament
H5750,עוֹד עוֹד,`owd (ode) (or rod ode) adv.,ఓద్,ఇంకా,Hebrew,Old Testament
H5751,עוֹד,`owd (ode) adv.,,,Hebrew,Old Testament
H5752,עוֹדֵד עוֹדֵד,`Owded (o-dade') (or mOded o-dade') n/p.,,,Hebrew,Old Testament
H5753,עָוָה,`avah (aw-vaw') v.,,,Hebrew,Old Testament
H5754,עַוָּה,overthrow,,,Hebrew,Old Testament
H5755,עִוָּה עַוָּא,`Ivvah (iv-vaw') (or eAvvae (2 Kings 17) n/l.,,,Hebrew,Old Testament
H5756,עוּז,`uwz (ooz) v.,,,Hebrew,Old Testament
H5757,עַוִּי,`Avviy (av-vee') adj.,,,Hebrew,Old Testament
H5758,עִויָא,perverseness,,,Hebrew,Old Testament
H5759,עֲוִיל,a babe,,,Hebrew,Old Testament
H5760,עֲוִיל,perverse (morally),,,Hebrew,Old Testament
H5761,עַוִּים,`Avviym (av-veem') n/p.,,,Hebrew,Old Testament
H5762,עֲוִיתּ עַיּוֹת עַיוּת,`Aviyth (av-veeth') (or (perhaps Ayowth ah-yoth',,,Hebrew,Old Testament
H5763,עוּל,`uwl (ool) v.,,,Hebrew,Old Testament
H5764,עוּל,a babe,,,Hebrew,Old Testament
H5765,עָוַל,`aval (aw-val') v.,,,Hebrew,Old Testament
H5766,עֶוֶל עָוֶל עַולָה עוֹלָה עוֹלָה,`evel (eh'-vel) (or lavel aw'-veland (feminine) lavlah av-law',,,Hebrew,Old Testament
H5767,עַוָּל,evil (morally),,,Hebrew,Old Testament
H5768,עוֹלֵל עוֹלָל,a suckling,,,Hebrew,Old Testament
H5769,עוֹלָם עוֹלָם,(properly) concealed,ఓలామ్,శాశ్వతం,Hebrew,Old Testament
H5770,עָוַן,`avan (aw-van') v.,,,Hebrew,Old Testament
H5771,עָווֹן עָווֹן,perversity,ఆవోన్,దోషం,Hebrew,Old Testament
H5772,עוֹנָה,sexual (cohabitation),,,Hebrew,Old Testament
H5773,עַועֶה,perversity,,,Hebrew,Old Testament
H5774,עוּף,עוף,,,Hebrew,Old Testament
H5775,עוֹף,a bird (as covered with feathers,,,Hebrew,Old Testament
H5776,עוֹף,fowl,,,Hebrew,Old Testament
H5777,עוֹפֶרֶת עוֹפֶרֶת,lead (from its dusty color),,,Hebrew,Old Testament
H5778,עוֹפַי,`Owphay (o-fah'-ee) n/p.,,,Hebrew,Old Testament
H5779,עוּץ,`uwts (oots) v.,,,Hebrew,Old Testament
H5780,עוּץ,`Uwts (oots) n/l.,,,Hebrew,Old Testament
H5781,עוּק,`uwq (ook) v.,,,Hebrew,Old Testament
H5782,עוּר,`uwr (oor) v.,,,Hebrew,Old Testament
H5783,עוּר,`uwr (oor) v.,,,Hebrew,Old Testament
H5784,עוּר,chaff,,,Hebrew,Old Testament
H5785,עוֹר,skin (as naked),,,Hebrew,Old Testament
H5786,עָוַר,`avar (aw-var') v.,,,Hebrew,Old Testament
H5787,עִוֵּר,`ivver (iv-vare') adj.,,,Hebrew,Old Testament
H5788,עִוָּרוֹן עַוֶּרֶת,blindness,,,Hebrew,Old Testament
H5789,עוּשׁ,`uwsh (oosh) v.,,,Hebrew,Old Testament
H5790,עוּת,`uwth (ooth) v.,,,Hebrew,Old Testament
H5791,עָוַת,`avath (aw-vath') v.,,,Hebrew,Old Testament
H5792,עַוָּתָה,oppression,,,Hebrew,Old Testament
H5793,עוּתַי,`Uwthay (oo-thah'-ee) n/p.,,,Hebrew,Old Testament
H5794,עַז,`az (az) adj.,,,Hebrew,Old Testament
H5795,עֵז,a she-goat (as strong),,,Hebrew,Old Testament
H5796,עֵז,goat,,,Hebrew,Old Testament
H5797,עוֹז עוֹז,strength in various applications (force,,,Hebrew,Old Testament
H5798,עוּזָּא עוּזָּה,`Uzza' (ooz-zaw') (or (Uzzah ooz-zaw') n/l.,,,Hebrew,Old Testament
H5799,עֲזָאזֵל,goat of departure,,,Hebrew,Old Testament
H5800,עָזַב,`azab (aw-zab') v.,ఆజబ్,విడిచిపెట్టు,Hebrew,Old Testament
H5801,עִזָּבוֹן,trade,,,Hebrew,Old Testament
H5802,עַזבּוּק,`Azbuwq (az-book') n/p.,,,Hebrew,Old Testament
H5803,עַזגָּד,`Azgad (az-gawd') n/p.,,,Hebrew,Old Testament
H5804,עַזָּה,strong,,,Hebrew,Old Testament
H5805,עֲזוּבָה,desertion (of inhabitants),,,Hebrew,Old Testament
H5806,עֲזוּבָה,`Azuwbah (az-oo-baw') n/p.,,,Hebrew,Old Testament
H5807,עֱזוּז,forcibleness,,,Hebrew,Old Testament
H5808,עִזּוּז,`izzuwz (iz-zooz') adj.,,,Hebrew,Old Testament
H5809,עַזּוּר עַזּוּר,`Azzuwr (az-zoor') (or mAzzur az-zoor') n/p.,,,Hebrew,Old Testament
H5810,עָזַז,`azaz (aw-zaz') v.,,,Hebrew,Old Testament
H5811,עָזָז,`Azaz (aw-zawz') n/p.,,,Hebrew,Old Testament
H5812,עֲזַזיָהוּ,`Azazyahuw (az-az-yaw'-hoo) n/p.,,,Hebrew,Old Testament
H5813,עוּזִּי,`Uzziy (ooz-zee') n/p.,,,Hebrew,Old Testament
H5814,עוּזִּיָא,`Uzziya' (ooz-zee-yaw') n/p.,,,Hebrew,Old Testament
H5815,עֲזִיאֵל,`Aziy'el (az-ee-ale') n/p.,,,Hebrew,Old Testament
H5816,עוּזִּיאֵל,`Uzziy'el (ooz-zee-ale') n/p.,,,Hebrew,Old Testament
H5817,עָזִּיאֵלִי,`Ozziy'eliy (oz-zee-ay-lee') adj.,,,Hebrew,Old Testament
H5818,עוּזִּיָה עוּזִּיָהוּ,`Uzziyah (ooz-zee-yaw') (or Uzziyahuw ooz-zee-yaw'-hoo) n/p.,,,Hebrew,Old Testament
H5819,עֲזִיזָא,`Aziyza' (az-ee-zaw') n/p.,,,Hebrew,Old Testament
H5820,עַזמָוֶת,`Azmaveth (az-maw'-veth) n/l.,,,Hebrew,Old Testament
H5821,עַזָּן,`Azzan (az-zawn') n/p.,,,Hebrew,Old Testament
H5822,עָזנִיָה,probably the sea-eagle (from its strength),,,Hebrew,Old Testament
H5823,עָזַק,`azaq (aw-zak') v.,,,Hebrew,Old Testament
H5824,עִזקָא,a signet-ring (as engraved),,,Hebrew,Old Testament
H5825,עֲזֵקָה,`Azeqah (az-ay-kaw') n/l.,,,Hebrew,Old Testament
H5826,עָזַר,`azar (aw-zar') v.,,,Hebrew,Old Testament
H5827,עֶזֶר,`Ezer (eh'-zer) n/p.,,,Hebrew,Old Testament
H5828,עֵזֶר,aid,,,Hebrew,Old Testament
H5829,עֵזֶר,`Ezer (ay'-zer) n/p.,,,Hebrew,Old Testament
H5830,עֶזרָא,`Ezra' (ez-raw') n/p.,,,Hebrew,Old Testament
H5831,עֶזרָא,`Ezra' (ez-raw') n/p.,,,Hebrew,Old Testament
H5832,עֲזַראֵל,`Azar'el (az-ar-ale') n/p.,,,Hebrew,Old Testament
H5833,עֶזרָה עֶזרָת,aid,,,Hebrew,Old Testament
H5834,עֶזרָה,`Ezrah (ez-raw') n/p.,,,Hebrew,Old Testament
H5835,עֲזָרָה,an inclosure,,,Hebrew,Old Testament
H5836,עֶזרִי,`Ezriy (ez-ree') n/p.,,,Hebrew,Old Testament
H5837,עַזרִיאֵל,`Azriy'el (az-ree-ale') n/p.,,,Hebrew,Old Testament
H5838,עֲזַריָה עֲזַריָהוּ,`Azaryah (az-ar-yaw') (or mAzaryahuw az-ar-yaw'-hoo) n/p.,,,Hebrew,Old Testament
H5839,עֲזַריָה,`Azaryah (az-ar-yaw') n/p.,,,Hebrew,Old Testament
H5840,עַזרִיקָם,`Azriyqam (az-ree-kawm') n/p.,,,Hebrew,Old Testament
H5841,עַזָּתִי,`Azzathiy (az-zaw-thee') adj.,,,Hebrew,Old Testament
H5842,עֵט,a stylus or marking stick,,,Hebrew,Old Testament
H5843,עֵטָא,prudence,,,Hebrew,Old Testament
H5844,עָטָה,`atah (aw-taw') v.,ఆతా,కప్పు,Hebrew,Old Testament
H5845,עֲטִין,a receptacle (for milk,,,Hebrew,Old Testament
H5846,עֲטִישָׁה,sneezing,,,Hebrew,Old Testament
H5847,עֲטַלֵּף,a bat,,,Hebrew,Old Testament
H5848,עָטַף,`ataph (aw-taf') v.,,,Hebrew,Old Testament
H5849,עָטַר,`atar (aw-tar') v.,,,Hebrew,Old Testament
H5850,עֲטָרָה,a crown,,,Hebrew,Old Testament
H5851,עֲטָרָה,`Atarah (at-aw-raw') n/p.,,,Hebrew,Old Testament
H5852,עֲטָרוֹת עֲטָרוֹת,`Atarowth (at-aw-roth') (or Ataroth at-aw-roth') n/l.,,,Hebrew,Old Testament
H5853,עַטרוֹת אַדָּר,`Atrowth 'Addar (at-roth' ad-dawr') n/l.,,,Hebrew,Old Testament
H5854,עַטרוֹת בֵּיתּ יוֹאָב,`Atrowth beyth Yow'ab (at-roth' bayth yo-awb') n/l.,,,Hebrew,Old Testament
H5855,עַטרוֹת שׁוֹפָן,`Atrowth Showphan (at-roth' sho-fawn') n/l.,,,Hebrew,Old Testament
H5856,עִי,a ruin (as if overturned),,,Hebrew,Old Testament
H5857,עַי עַיָא עַיָת,`Ay (ah'ee) (or (feminine) uAya( (Neh. 11) n/l.,,,Hebrew,Old Testament
H5858,עֵיבָּל,`Eybal (ay-bawl') n/l.,,,Hebrew,Old Testament
H5859,עִיוֹן,`Iyown (ee-yone') n/l.,,,Hebrew,Old Testament
H5860,עִיטּ,`iyt (eet) v.,,,Hebrew,Old Testament
H5861,עַיִט,a hawk or other bird of prey,,,Hebrew,Old Testament
H5862,עֵיטָּם,`Eytam (ay-tawm') n/l.,,,Hebrew,Old Testament
H5863,עִיֵי הָעֲבָרִים,`Iyey ha-`Abariym (ee-yay' haw-ab-aw-reem') n/l.,,,Hebrew,Old Testament
H5864,עִיִים,`Iyiym (ee-yeem') n/l.,,,Hebrew,Old Testament
H5865,עֵילוֹם,ever,,,Hebrew,Old Testament
H5866,עִילַי,`Iylay (ee-lah'-ee) n/p.,,,Hebrew,Old Testament
H5867,עֵילָם עוֹלָם,`Eylam (ay-lawm') (or mOwlam (Ezra 10) n/l.,,,Hebrew,Old Testament
H5868,עֲיָם,probably meaning strength,,,Hebrew,Old Testament
H5869,עַיִן,`ayin (ah'-yin) n-e.,ఆయిన్,కన్ను,Hebrew,Old Testament
H5870,עַיִן,an eye,,,Hebrew,Old Testament
H5871,עַיִן,`Ayin (ah'-yin) n/l.,,,Hebrew,Old Testament
H5872,עֵין גֶּדִי,`Eyn Gediy (ane geh'-dee) n/l.,,,Hebrew,Old Testament
H5873,עֵין גַּנִּים,`Eyn Ganniym (ane gan-neem') n/l.,,,Hebrew,Old Testament
H5874,עֵין ־ דּאוֹר עֵין דּוֹר עֵין ־ דּוֹר,`Eyn-Do'r,,,Hebrew,Old Testament
H5875,עֵין הַקּוֹרֵא,`Eyn haq-Qowre' (ane-hak-ko-ray') n/l.,,,Hebrew,Old Testament
H5876,עֵין חַדָּה,`Eyn Chaddah (ane khad-daw') n/l.,,,Hebrew,Old Testament
H5877,עֵין חָצוֹר,`Eyn Chatsowr (ane khaw-tsore') n/l.,,,Hebrew,Old Testament
H5878,עֵין חֲרוֹד,`Eyn Charod (ane khar-ode') n/l.,,,Hebrew,Old Testament
H5879,עֵינַיִם עֵינָם,`Eynayim (ay-nah'-yim) (or mEynam ay-nawm') n/l.,,,Hebrew,Old Testament
H5880,עֵין מִשׁפָּט,`Eyn Mishpat (ane mish-pawt') n/l.,,,Hebrew,Old Testament
H5881,עֵינָן,`Eynan (ay-nawn') n/p.,,,Hebrew,Old Testament
H5882,עֵין עֶגלַיִם,`Eyn `Eglayim (ane eg-lah'-yim) n/l.,,,Hebrew,Old Testament
H5883,עֵין רוֹגֵל,`Eyn Rogel (ane ro-gale') n/l.,,,Hebrew,Old Testament
H5884,עֵין רִמּוֹן,`Eyn Rimmown (ane rim-mone') n/l.,,,Hebrew,Old Testament
H5885,עֵין שֶׁמֶשׁ,`Eyn Shemesh (ane sheh'-mesh) n/l.,,,Hebrew,Old Testament
H5886,עֵין תַּנִּים,`Eyn Tanniym (ane tan-neem') n/l.,,,Hebrew,Old Testament
H5887,עֵין תַּפּוַּח,`Eyn Tappuwach (ane tap-poo'-akh) n/l.,,,Hebrew,Old Testament
H5888,עָיֵף,`ayeph (aw-yafe') v.,,,Hebrew,Old Testament
H5889,עָיֵף,`ayeph (aw-yafe') adj.,,,Hebrew,Old Testament
H5890,עֵיפָה,obscurity (as if from covering),,,Hebrew,Old Testament
H5891,עֵיפָה,`Eyphah (ay-faw') n/p.,,,Hebrew,Old Testament
H5892,עִיר עָר עָיַר,a city (a place guarded by waking or a watch) in the widest sense (even of a mere encampment or post...,,,Hebrew,Old Testament
H5893,עִיר,`Iyr (eer) n/p.,,,Hebrew,Old Testament
H5894,עִיר,a watcher,,,Hebrew,Old Testament
H5895,עַיִר,(properly) a young donkey (as just broken to a load),,,Hebrew,Old Testament
H5896,עִירָא,`Iyra' (ee-raw') n/p.,,,Hebrew,Old Testament
H5897,עִירָד,`Iyrad (ee-rawd') n/p.,,,Hebrew,Old Testament
H5898,עִיר הַמֶּלַח,`Iyr ham-Melach (eer ham-meh'-lakh) n/l.,,,Hebrew,Old Testament
H5899,עִיר הַתּתְּמָרִים,`Iyr hat-Tmariym (eer hat-tem-aw-reem') n/l.,,,Hebrew,Old Testament
H5900,עִירוּ,`Iyruw (ee-roo') n/p.,,,Hebrew,Old Testament
H5901,עִירִי,`Iyriy (ee-ree') n/p.,,,Hebrew,Old Testament
H5902,עִירָם,Iyram (ee-rawm') n/p.,,,Hebrew,Old Testament
H5903,עֵירוֹם עֵרוֹם,`eyrom (ay-rome') (or merom ay-rome') adj.,,,Hebrew,Old Testament
H5904,עִיר נָחָשׁ,`Iyr Nachash (eer naw-khawsh') n/p.,,,Hebrew,Old Testament
H5905,עִיר שֶׁמֶשׁ,`Iyr Shemesh (eer sheh'-mesh) n/l.,,,Hebrew,Old Testament
H5906,עַיִשׁ עָשׁ,the constellation of the Great Bear (perhaps from its migration through the heavens),,,Hebrew,Old Testament
H5907,עַכבּוֹר,`Akbowr (ak-bore') n/p.,,,Hebrew,Old Testament
H5908,עַכָּבִישׁ,a spider (as weaving a network),,,Hebrew,Old Testament
H5909,עַכבָּר,a mouse (as nibbling),,,Hebrew,Old Testament
H5910,עַכּוֹ,`Akkow (ak-ko') n/l.,,,Hebrew,Old Testament
H5911,עָכוֹר,troubled,,,Hebrew,Old Testament
H5912,עָכָן,`Akan (aw-kawn') n/p.,,,Hebrew,Old Testament
H5913,עָכַס,`akac (aw-kas') v.,,,Hebrew,Old Testament
H5914,עֶכֶס,a fetter,,,Hebrew,Old Testament
H5915,עַכסָה,`Akcah (ak-saw') n/p.,,,Hebrew,Old Testament
H5916,עָכַר,`akar (aw-kar') v.,,,Hebrew,Old Testament
H5917,עָכָר,`Akar (aw-kawr') n/p.,,,Hebrew,Old Testament
H5918,עָכרָן,`Okran (ok-rawn') n/p.,,,Hebrew,Old Testament
H5919,עַכשׁוּב,an asp (from lurking coiled up),,,Hebrew,Old Testament
H5920,עַל,`al (al) adv.,,,Hebrew,Old Testament
H5921,עַל,`al (al) prep.,అల్,మీద,Hebrew,Old Testament
H5922,עַל,`al (al) prep.,,,Hebrew,Old Testament
H5923,עוֹל עוֹל,a yoke (as imposed on the neck),,,Hebrew,Old Testament
H5924,עֵלָּא,`ella' (ale-law') adv.,,,Hebrew,Old Testament
